width,height,x_shift,noise_level,laminar_thickness,laminar_gap,amplitude,thickness_variation
256,89,0.25,0.16666666666666666,10,11,8,0.0
256,110,0.25,0.16666666666666666,10,11,8,0.0
256,131,0.25,0.16666666666666666,10,11,8,0.0
256,30,0.25,0.16666666666666666,10,11,10,0.0
256,51,0.25,0.16666666666666666,10,11,10,0.0
256,72,0.25,0.16666666666666666,10,11,10,0.0
256,93,0.25,0.16666666666666666,10,11,10,0.0
256,114,0.25,0.16666666666666666,10,11,10,0.0
256,135,0.25,0.16666666666666666,10,11,10,0.0
256,34,0.25,0.16666666666666666,10,11,12,0.0
256,55,0.25,0.16666666666666666,10,11,12,0.0
256,76,0.25,0.16666666666666666,10,11,12,0.0
256,97,0.25,0.16666666666666666,10,11,12,0.0
256,118,0.25,0.16666666666666666,10,11,12,0.0
256,139,0.25,0.16666666666666666,10,11,12,0.0
256,38,0.25,0.16666666666666666,10,11,14,0.0
256,59,0.25,0.16666666666666666,10,11,14,0.0
256,80,0.25,0.16666666666666666,10,11,14,0.0
256,101,0.25,0.16666666666666666,10,11,14,0.0
256,122,0.25,0.16666666666666666,10,11,14,0.0
256,143,0.25,0.16666666666666666,10,11,14,0.0
256,42,0.25,0.16666666666666666,10,11,16,0.0
256,63,0.25,0.16666666666666666,10,11,16,0.0
256,84,0.25,0.16666666666666666,10,11,16,0.0
256,105,0.25,0.16666666666666666,10,11,16,0.0
256,126,0.25,0.16666666666666666,10,11,16,0.0
256,147,0.25,0.16666666666666666,10,11,16,0.0
256,46,0.25,0.16666666666666666,10,11,18,0.0
256,67,0.25,0.16666666666666666,10,11,18,0.0
256,88,0.25,0.16666666666666666,10,11,18,0.0
256,109,0.25,0.16666666666666666,10,11,18,0.0
256,130,0.25,0.16666666666666666,10,11,18,0.0
256,151,0.25,0.16666666666666666,10,11,18,0.0
256,50,0.25,0.16666666666666666,10,11,20,0.0
256,71,0.25,0.16666666666666666,10,11,20,0.0
256,92,0.25,0.16666666666666666,10,11,20,0.0
256,113,0.25,0.16666666666666666,10,11,20,0.0
256,134,0.25,0.16666666666666666,10,11,20,0.0
256,155,0.25,0.16666666666666666,10,11,20,0.0
